,state,year,number_of_drinks_total
1600,pennsylvania,2014,499.2
1601,pennsylvania,2013,497.0666667
1602,pennsylvania,2012,499.2
1603,pennsylvania,2011,497.0666667
1604,pennsylvania,2010,490.6666667
1605,pennsylvania,2009,484.2666667
1606,pennsylvania,2008,475.7333333
1607,pennsylvania,2007,465.0666667
1608,pennsylvania,2006,448
1609,pennsylvania,2005,450.1333333
1610,pennsylvania,2004,439.4666667
1611,pennsylvania,2003,435.2
1612,pennsylvania,2002,439.4666667
1613,pennsylvania,2001,430.9333333
1638,rhode island,2018,561.0666667
1639,rhode island,2017,554.6666667
1640,rhode island,2016,548.2666667
1641,rhode island,2015,537.6
1642,rhode island,2014,509.8666667
1643,rhode island,2013,546.1333333
1644,rhode island,2012,550.4
1645,rhode island,2011,544
1646,rhode island,2010,541.8666667
1647,rhode island,2009,526.9333333
1648,rhode island,2008,524.8
1649,rhode island,2007,522.6666667
1650,rhode island,2006,514.1333333
1651,rhode island,2005,488.5333333
1652,rhode island,2004,516.2666667
1653,rhode island,2003,522.6666667
1654,rhode island,2002,512
1655,rhode island,2001,503.4666667
1680,south carolina,2018,460.8
1681,south carolina,2017,467.2
1682,south carolina,2016,475.7333333
1683,south carolina,2015,480
1684,south carolina,2014,486.4
1685,south carolina,2013,492.8
1686,south carolina,2012,494.9333333
1687,south carolina,2011,492.8
1688,south carolina,2010,492.8
1689,south carolina,2009,499.2
1690,south carolina,2008,512
1691,south carolina,2007,516.2666667
1692,south carolina,2006,522.6666667
1693,south carolina,2005,516.2666667
1694,south carolina,2004,507.7333333
1695,south carolina,2003,501.3333333
1696,south carolina,2002,490.6666667
1697,south carolina,2001,484.2666667
1722,south dakota,2018,505.6
1723,south dakota,2017,608
1724,south dakota,2016,614.4
1725,south dakota,2015,599.4666667
1726,south dakota,2014,586.6666667
1727,south dakota,2013,601.6
1728,south dakota,2012,588.8
1729,south dakota,2011,590.9333333
1730,south dakota,2010,573.8666667
1731,south dakota,2009,565.3333333
1732,south dakota,2008,567.4666667
1733,south dakota,2007,556.8
1734,south dakota,2006,533.3333333
1735,south dakota,2005,537.6
1736,south dakota,2004,522.6666667
1737,south dakota,2003,514.1333333
1738,south dakota,2002,499.2
1739,south dakota,2001,501.3333333
1764,tennessee,2018,456.5333333
1765,tennessee,2017,450.1333333
1766,tennessee,2016,456.5333333
1767,tennessee,2015,439.4666667
1768,tennessee,2014,430.9333333
1769,tennessee,2013,426.6666667
1770,tennessee,2012,426.6666667
1771,tennessee,2011,435.2
1772,tennessee,2010,401.0666667
1773,tennessee,2009,390.4
1774,tennessee,2008,398.9333333
1775,tennessee,2007,405.3333333
1776,tennessee,2006,403.2
1777,tennessee,2005,409.6
1778,tennessee,2004,411.7333333
1779,tennessee,2003,418.1333333
1780,tennessee,2002,396.8
1781,tennessee,2001,386.1333333
1806,texas,2018,482.1333333
1807,texas,2017,499.2
1808,texas,2016,497.0666667
1809,texas,2015,486.4
1810,texas,2014,475.7333333
1811,texas,2013,480
1812,texas,2012,486.4
1813,texas,2011,484.2666667
1814,texas,2010,475.7333333
1815,texas,2009,482.1333333
1816,texas,2008,486.4
1817,texas,2007,477.8666667
1818,texas,2006,477.8666667
1819,texas,2005,469.3333333
1820,texas,2004,471.4666667
1821,texas,2003,467.2
1822,texas,2002,471.4666667
1823,texas,2001,471.4666667
1848,utah,2018,288
1849,utah,2017,290.1333333
1850,utah,2016,285.8666667
1851,utah,2015,298.6666667
1852,utah,2014,292.2666667
1853,utah,2013,292.2666667
1854,utah,2012,292.2666667
1855,utah,2011,290.1333333
1856,utah,2010,288
1857,utah,2009,290.1333333
1858,utah,2008,300.8
1859,utah,2007,294.4
1860,utah,2006,283.7333333
1861,utah,2005,270.9333333
1862,utah,2004,277.3333333
1863,utah,2003,277.3333333
1864,utah,2002,277.3333333
1865,utah,2001,277.3333333
1890,vermont,2018,652.8
1891,vermont,2017,659.2
1892,vermont,2016,659.2
1893,vermont,2015,657.0666667
1894,vermont,2014,652.8
1895,vermont,2013,642.1333333
1896,vermont,2012,625.0666667
1897,vermont,2011,608
1898,vermont,2010,597.3333333
1899,vermont,2009,590.9333333
1900,vermont,2008,595.2
1901,vermont,2007,593.0666667
1902,vermont,2006,582.4
1903,vermont,2005,573.8666667
1904,vermont,2004,546.1333333
1905,vermont,2003,535.4666667
1906,vermont,2002,529.0666667
1907,vermont,2001,522.6666667
1932,virginia,2018,454.4
1933,virginia,2017,454.4
1934,virginia,2016,456.5333333
1935,virginia,2015,454.4
1936,virginia,2014,450.1333333
1937,virginia,2013,448
1938,virginia,2012,454.4
1939,virginia,2011,452.2666667
1940,virginia,2010,452.2666667
1941,virginia,2009,450.1333333
1942,virginia,2008,452.2666667
1943,virginia,2007,448
1944,virginia,2006,443.7333333
1945,virginia,2005,437.3333333
1946,virginia,2004,435.2
1947,virginia,2003,430.9333333
1948,virginia,2002,426.6666667
1949,virginia,2001,420.2666667
1974,washington,2018,473.6
1975,washington,2017,475.7333333
1976,washington,2016,482.1333333
1977,washington,2015,482.1333333
1978,washington,2014,482.1333333
1979,washington,2013,477.8666667
1980,washington,2012,482.1333333
1981,washington,2011,480
1982,washington,2010,480
1983,washington,2009,499.2
1984,washington,2008,505.6
1985,washington,2007,507.7333333
1986,washington,2006,486.4
1987,washington,2005,499.2
1988,washington,2004,490.6666667
1989,washington,2003,471.4666667
1990,washington,2002,462.9333333
1991,washington,2001,458.6666667
2016,west virginia,2018,371.2
2017,west virginia,2017,371.2
2018,west virginia,2016,375.4666667
2019,west virginia,2015,379.7333333
2020,west virginia,2014,379.7333333
2021,west virginia,2013,384
2022,west virginia,2012,384
2023,west virginia,2011,379.7333333
2024,west virginia,2010,379.7333333
2025,west virginia,2009,377.6
2026,west virginia,2008,381.8666667
2027,west virginia,2007,373.3333333
2028,west virginia,2006,366.9333333
2029,west virginia,2005,369.0666667
2030,west virginia,2004,373.3333333
2031,west virginia,2003,366.9333333
2032,west virginia,2002,371.2
2033,west virginia,2001,366.9333333
2058,wisconsin,2018,625.0666667
2059,wisconsin,2017,637.8666667
2060,wisconsin,2016,637.8666667
2061,wisconsin,2015,635.7333333
2062,wisconsin,2014,635.7333333
2063,wisconsin,2013,640
2064,wisconsin,2012,644.2666667
2065,wisconsin,2011,637.8666667
2066,wisconsin,2010,627.2
2067,wisconsin,2009,631.4666667
2068,wisconsin,2008,642.1333333
2069,wisconsin,2007,640
2070,wisconsin,2006,637.8666667
2071,wisconsin,2005,629.3333333
2072,wisconsin,2004,608
2073,wisconsin,2003,601.6
2074,wisconsin,2002,601.6
2075,wisconsin,2001,586.6666667
2100,wyoming,2018,593.0666667
2101,wyoming,2017,571.7333333
2102,wyoming,2016,571.7333333
2103,wyoming,2015,584.5333333
2104,wyoming,2014,582.4
2105,wyoming,2013,569.6
2106,wyoming,2012,582.4
2107,wyoming,2011,567.4666667
2108,wyoming,2010,567.4666667
2109,wyoming,2009,582.4
2110,wyoming,2008,612.2666667
2111,wyoming,2007,597.3333333
2112,wyoming,2006,580.2666667
2113,wyoming,2005,514.1333333
2114,wyoming,2004,550.4
2115,wyoming,2003,605.8666667
2116,wyoming,2002,548.2666667
2117,wyoming,2001,539.7333333
2142,northeast region,2018,514.1333333
2143,northeast region,2017,516.2666667
2144,northeast region,2016,516.2666667
2145,northeast region,2015,512
2146,northeast region,2014,512
2147,northeast region,2013,512
2148,northeast region,2012,509.8666667
2149,northeast region,2011,503.4666667
2150,northeast region,2010,497.0666667
2151,northeast region,2009,492.8
2152,northeast region,2008,492.8
2153,northeast region,2007,492.8
2154,northeast region,2006,480
2155,northeast region,2005,473.6
2156,northeast region,2004,469.3333333
2157,northeast region,2003,462.9333333
2158,northeast region,2002,460.8
2159,northeast region,2001,454.4
2184,midwest region,2018,505.6
2185,midwest region,2017,507.7333333
2186,midwest region,2016,505.6
2187,midwest region,2015,503.4666667
2188,midwest region,2014,501.3333333
