,state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
1727,south dakota,2013,362.66666666666674,55.56589147286822,211.77615571776158,601.6
1728,south dakota,2012,365.03703703703695,51.5968992248062,199.31873479318736,588.8000000000002
1729,south dakota,2011,360.2962962962963,55.56589147286822,201.3949716139497,590.9333333333334
1730,south dakota,2010,362.66666666666674,47.627906976744185,191.0137875101379,573.8666666666667
1731,south dakota,2009,365.03703703703695,43.65891472868218,184.7850770478508,565.3333333333334
1732,south dakota,2008,372.1481481481482,43.65891472868218,180.6326034063261,567.4666666666667
1733,south dakota,2007,360.2962962962963,43.65891472868218,180.6326034063261,556.8
1734,south dakota,2006,357.9259259259259,37.70542635658914,164.0227088402271,533.3333333333334
1735,south dakota,2005,355.55555555555566,37.70542635658914,172.3276561232766,537.6
1736,south dakota,2004,357.9259259259259,35.72093023255813,157.79399837794,522.6666666666666
1737,south dakota,2003,360.2962962962963,31.751937984496127,153.64152473641525,514.1333333333333
1738,south dakota,2002,357.9259259259259,29.767441860465123,139.10786699107868,499.2
1739,south dakota,2001,353.18518518518516,29.767441860465123,147.41281427412815,501.33333333333326
1740,south dakota,2000,346.0740740740741,29.767441860465123,143.2603406326034,490.6666666666666
1764,tennessee,2018,232.2962962962963,63.503875968992254,174.40389294403892,456.53333333333336
1765,tennessee,2017,234.66666666666663,63.503875968992254,168.17518248175185,450.13333333333327
1766,tennessee,2016,241.77777777777783,65.48837209302324,164.0227088402271,456.53333333333336
1767,tennessee,2015,246.51851851851856,53.58139534883721,157.79399837794,439.4666666666667
1768,tennessee,2014,246.51851851851856,51.5968992248062,151.56528791565287,430.9333333333333
1769,tennessee,2013,248.88888888888889,49.61240310077518,145.33657745336578,426.66666666666674
1770,tennessee,2012,253.62962962962962,49.61240310077518,141.18410381184103,426.66666666666674
1771,tennessee,2011,267.8518518518519,47.627906976744185,137.03163017031628,435.2000000000001
1772,tennessee,2010,246.51851851851856,43.65891472868218,126.65044606650446,401.0666666666667
1773,tennessee,2009,248.88888888888889,41.67441860465117,118.34549878345501,390.4
1774,tennessee,2008,260.7407407407408,39.689922480620154,118.34549878345501,398.93333333333334
1775,tennessee,2007,267.8518518518519,39.689922480620154,116.26926196269262,405.33333333333326
1776,tennessee,2006,270.22222222222223,37.70542635658914,116.26926196269262,403.2000000000001
1777,tennessee,2005,282.07407407407413,37.70542635658914,114.19302514193028,409.6
1778,tennessee,2004,289.1851851851852,35.72093023255813,110.04055150040553,411.73333333333335
1779,tennessee,2003,301.03703703703707,35.72093023255813,107.96431467964315,418.13333333333327
1780,tennessee,2002,277.33333333333337,33.73643410852713,105.88807785888079,396.8
1781,tennessee,2001,272.5925925925927,31.751937984496127,103.81184103811842,386.1333333333334
1782,tennessee,2000,282.07407407407413,31.751937984496127,105.88807785888079,394.66666666666674
1806,texas,2018,286.8148148148148,67.47286821705426,147.41281427412815,482.1333333333334
1807,texas,2017,301.03703703703707,69.45736434108527,149.48905109489053,499.2
1808,texas,2016,308.1481481481481,67.47286821705426,143.2603406326034,497.06666666666666
1809,texas,2015,303.40740740740745,65.48837209302324,139.10786699107868,486.40000000000015
1810,texas,2014,296.2962962962963,65.48837209302324,134.95539334955393,475.73333333333335
1811,texas,2013,308.1481481481481,63.503875968992254,130.8029197080292,480.0
1812,texas,2012,315.2592592592593,63.503875968992254,130.8029197080292,486.40000000000015
1813,texas,2011,320.00000000000006,61.51937984496124,126.65044606650446,484.2666666666667
1814,texas,2010,320.00000000000006,57.55038759689922,122.49797242497972,475.73333333333335
1815,texas,2009,334.22222222222223,55.56589147286822,120.42173560421736,482.1333333333334
1816,texas,2008,338.962962962963,53.58139534883721,120.42173560421736,486.40000000000015
1817,texas,2007,334.22222222222223,53.58139534883721,116.26926196269262,477.86666666666673
1818,texas,2006,338.962962962963,51.5968992248062,114.19302514193028,477.86666666666673
1819,texas,2005,338.962962962963,49.61240310077518,110.04055150040553,469.33333333333337
1820,texas,2004,343.7037037037037,47.627906976744185,107.96431467964315,471.4666666666667
1821,texas,2003,346.0740740740741,45.64341085271318,105.88807785888079,467.2
1822,texas,2002,353.18518518518516,43.65891472868218,103.81184103811842,471.4666666666667
1823,texas,2001,357.9259259259259,41.67441860465117,101.73560421735607,471.4666666666667
1824,texas,2000,362.66666666666674,43.65891472868218,103.81184103811842,480.0
1848,utah,2018,137.4814814814815,39.689922480620154,118.34549878345501,288.00000000000006
1849,utah,2017,144.5925925925926,39.689922480620154,116.26926196269262,290.1333333333334
1850,utah,2016,149.33333333333334,37.70542635658914,107.96431467964315,285.8666666666667
1851,utah,2015,154.0740740740741,39.689922480620154,112.1167883211679,298.6666666666667
1852,utah,2014,156.44444444444446,37.70542635658914,107.96431467964315,292.26666666666665
1853,utah,2013,158.8148148148148,37.70542635658914,105.88807785888079,292.26666666666665
1854,utah,2012,163.55555555555554,37.70542635658914,103.81184103811842,292.26666666666665
1855,utah,2011,161.1851851851852,35.72093023255813,101.73560421735607,290.1333333333334
1856,utah,2010,165.9259259259259,35.72093023255813,97.58313057583132,288.00000000000006
1857,utah,2009,170.66666666666666,33.73643410852713,97.58313057583132,290.1333333333334
1858,utah,2008,180.14814814814812,33.73643410852713,97.58313057583132,300.8
1859,utah,2007,182.51851851851848,31.751937984496127,91.3544201135442,294.4000000000001
1860,utah,2006,173.03703703703704,31.751937984496127,91.3544201135442,283.73333333333335
1861,utah,2005,165.9259259259259,31.751937984496127,85.12570965125711,270.93333333333334
1862,utah,2004,180.14814814814812,29.767441860465123,80.97323600973236,277.33333333333337
1863,utah,2003,180.14814814814812,27.78294573643411,80.97323600973236,277.33333333333337
1864,utah,2002,182.51851851851848,27.78294573643411,80.97323600973236,277.33333333333337
1865,utah,2001,182.51851851851848,27.78294573643411,80.97323600973236,277.33333333333337
1866,utah,2000,177.77777777777783,27.78294573643411,83.04947283049474,275.20000000000005
1890,vermont,2018,362.66666666666674,154.7906976744186,157.79399837794,652.8000000000002
1891,vermont,2017,367.40740740740745,158.75968992248062,153.64152473641525,659.2
1892,vermont,2016,372.1481481481482,156.7751937984496,151.56528791565287,659.2
1893,vermont,2015,372.1481481481482,154.7906976744186,151.56528791565287,657.0666666666667
1894,vermont,2014,369.77777777777777,154.7906976744186,149.48905109489053,652.8000000000002
1895,vermont,2013,367.40740740740745,146.85271317829455,149.48905109489053,642.1333333333333
1896,vermont,2012,357.9259259259259,138.91472868217053,147.41281427412815,625.0666666666666
1897,vermont,2011,346.0740740740741,134.9457364341085,147.41281427412815,608.0
1898,vermont,2010,341.3333333333333,127.00775193798451,147.41281427412815,597.3333333333334
1899,vermont,2009,338.962962962963,127.00775193798451,145.33657745336578,590.9333333333334
1900,vermont,2008,343.7037037037037,125.02325581395347,147.41281427412815,595.2
1901,vermont,2007,346.0740740740741,123.03875968992249,145.33657745336578,593.0666666666667
1902,vermont,2006,343.7037037037037,119.06976744186045,143.2603406326034,582.4
1903,vermont,2005,341.3333333333333,113.11627906976746,141.18410381184103,573.8666666666667
1904,vermont,2004,317.6296296296297,109.14728682170544,137.03163017031628,546.1333333333333
1905,vermont,2003,317.6296296296297,103.1937984496124,134.95539334955393,535.4666666666667
1906,vermont,2002,317.6296296296297,101.2093023255814,130.8029197080292,529.0666666666667
1907,vermont,2001,317.6296296296297,95.25581395348837,130.8029197080292,522.6666666666666
1908,vermont,2000,312.8888888888889,97.24031007751935,130.8029197080292,518.4
1932,virginia,2018,222.8148148148148,97.24031007751935,145.33657745336578,454.4
1933,virginia,2017,227.55555555555557,97.24031007751935,139.10786699107868,454.4
1934,virginia,2016,237.03703703703704,97.24031007751935,137.03163017031628,456.53333333333336
1935,virginia,2015,237.03703703703704,95.25581395348837,134.95539334955393,454.4
1936,virginia,2014,239.40740740740745,93.27131782945736,130.8029197080292,450.13333333333327
1937,virginia,2013,241.77777777777783,91.28682170542636,128.72668288726683,448.00000000000006
1938,virginia,2012,246.51851851851856,91.28682170542636,128.72668288726683,454.4
1939,virginia,2011,248.88888888888889,91.28682170542636,126.65044606650446,452.2666666666667
1940,virginia,2010,256.00000000000006,87.31782945736435,124.5742092457421,452.2666666666667
1941,virginia,2009,260.7407407407408,83.34883720930233,120.42173560421736,450.13333333333327
1942,virginia,2008,265.4814814814815,83.34883720930233,120.42173560421736,452.2666666666667
1943,virginia,2007,267.8518518518519,81.3643410852713,118.34549878345501,448.00000000000006
1944,virginia,2006,267.8518518518519,77.3953488372093,116.26926196269262,443.73333333333335
1945,virginia,2005,267.8518518518519,75.4108527131783,112.1167883211679,437.33333333333326
1946,virginia,2004,270.22222222222223,73.42635658914728,110.04055150040553,435.2000000000001
1947,virginia,2003,270.22222222222223,71.44186046511626,107.96431467964315,430.9333333333333
1948,virginia,2002,272.5925925925927,67.47286821705426,105.88807785888079,426.66666666666674
1949,virginia,2001,272.5925925925927,63.503875968992254,103.81184103811842,420.26666666666665
1950,virginia,2000,274.962962962963,61.51937984496124,101.73560421735607,420.26666666666665
1974,washington,2018,215.7037037037037,101.2093023255814,168.17518248175185,473.60000000000014
1975,washington,2017,220.44444444444446,103.1937984496124,164.0227088402271,475.73333333333335
1976,washington,2016,227.55555555555557,103.1937984496124,161.94647201946472,482.1333333333334
1977,washington,2015,229.92592592592598,105.1782945736434,159.87023519870237,482.1333333333334
1978,washington,2014,229.92592592592598,105.1782945736434,157.79399837794,482.1333333333334
1979,washington,2013,225.1851851851852,105.1782945736434,157.79399837794,477.86666666666673
1980,washington,2012,227.55555555555557,105.1782945736434,157.79399837794,482.1333333333334
1981,washington,2011,229.92592592592598,107.16279069767442,155.71776155717762,480.0
1982,washington,2010,239.40740740740745,103.1937984496124,151.56528791565287,480.0
1983,washington,2009,260.7407407407408,101.2093023255814,153.64152473641525,499.2
1984,washington,2008,263.11111111111114,99.22480620155036,155.71776155717762,505.6
1985,washington,2007,270.22222222222223,99.22480620155036,153.64152473641525,507.73333333333335
1986,washington,2006,256.00000000000006,95.25581395348837,149.48905109489053,486.40000000000015
1987,washington,2005,263.11111111111114,109.14728682170544,141.18410381184103,499.2
1988,washington,2004,263.11111111111114,105.1782945736434,137.03163017031628,490.6666666666666
1989,washington,2003,253.62962962962962,93.27131782945736,141.18410381184103,471.4666666666667
1990,washington,2002,258.3703703703704,85.33333333333334,137.03163017031628,462.9333333333333
1991,washington,2001,258.3703703703704,79.37984496124031,134.95539334955393,458.66666666666674
1992,washington,2000,263.11111111111114,81.3643410852713,137.03163017031628,465.0666666666667
2016,west virginia,2018,272.5925925925927,21.82945736434109,97.58313057583132,371.2
2017,west virginia,2017,277.33333333333337,21.82945736434109,95.50689375506894,371.2
2018,west virginia,2016,282.07407407407413,21.82945736434109,95.50689375506894,375.4666666666667
2019,west virginia,2015,286.8148148148148,21.82945736434109,97.58313057583132,379.73333333333335
2020,west virginia,2014,286.8148148148148,19.844961240310077,97.58313057583132,379.73333333333335
2021,west virginia,2013,293.92592592592587,19.844961240310077,95.50689375506894,384.0
2022,west virginia,2012,293.92592592592587,19.844961240310077,97.58313057583132,384.0
2023,west virginia,2011,289.1851851851852,19.844961240310077,95.50689375506894,379.73333333333335
2024,west virginia,2010,291.5555555555556,19.844961240310077,91.3544201135442,379.73333333333335
2025,west virginia,2009,291.5555555555556,19.844961240310077,91.3544201135442,377.6
2026,west virginia,2008,296.2962962962963,19.844961240310077,89.27818329278186,381.86666666666673
2027,west virginia,2007,291.5555555555556,19.844961240310077,87.20194647201946,373.33333333333337
2028,west virginia,2006,286.8148148148148,19.844961240310077,85.12570965125711,366.9333333333333
2029,west virginia,2005,291.5555555555556,19.844961240310077,83.04947283049474,369.06666666666666
2030,west virginia,2004,296.2962962962963,19.844961240310077,80.97323600973236,373.33333333333337
2031,west virginia,2003,291.5555555555556,19.844961240310077,78.89699918897,366.9333333333333
2032,west virginia,2002,298.6666666666667,19.844961240310077,78.89699918897,371.2
2033,west virginia,2001,296.2962962962963,19.844961240310077,76.82076236820762,366.9333333333333
2034,west virginia,2000,293.92592592592587,19.844961240310077,74.74452554744526,362.66666666666674
2058,wisconsin,2018,305.77777777777777,77.3953488372093,259.52960259529596,625.0666666666666
2059,wisconsin,2017,315.2592592592593,79.37984496124031,261.6058394160584,637.8666666666667
2060,wisconsin,2016,322.3703703703704,79.37984496124031,253.3008921330089,637.8666666666667
2061,wisconsin,2015,329.4814814814815,77.3953488372093,249.1484184914842,635.7333333333332
2062,wisconsin,2014,336.5925925925925,75.4108527131783,244.9959448499595,635.7333333333332
2063,wisconsin,2013,343.7037037037037,75.4108527131783,242.91970802919715,640.0
2064,wisconsin,2012,346.0740740740741,73.42635658914728,247.0721816707219,644.2666666666668
2065,wisconsin,2011,346.0740740740741,73.42635658914728,240.84347120843475,637.8666666666667
2066,wisconsin,2010,353.18518518518516,63.503875968992254,234.61476074614762,627.2
2067,wisconsin,2009,353.18518518518516,61.51937984496124,240.84347120843475,631.4666666666667
